episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
547,-2.45,1.0927,0.6161,11,0,,,
548,0.9,1.099,0.6158,4,2,,,
549,31.5,1.1676,0.615,10,37,,,
550,6.5,1.2448,0.6148,2,7,,,
551,-0.75,1.004,0.6138,13,4,,,
552,-1.2,1.1444,0.6128,12,1,,,
553,0.95,0.9714,0.6118,11,3,,,
554,2.75,1.1821,0.6111,10,5,,,
555,-1.7,1.0499,0.6103,10,2,,,
556,3.25,0.9603,0.6101,3,4,,,
557,15.25,1.1933,0.6096,7,17,,,
558,35.15,0.9164,0.6087,12,43,,,
559,0.7,1.282,0.6085,2,1,,,
560,-0.2,0.7118,0.6085,1,0,,,
561,16.3,0.9492,0.6081,6,19,,,
562,2.55,1.2128,0.6074,10,8,,,
563,-2.05,1.1117,0.6064,12,0,,,
564,-1.25,1.0766,0.6054,8,0,,,
565,-0.15,0.9149,0.6045,11,3,,,
566,8.25,0.8113,0.6036,13,13,,,
567,-2.7,0.9775,0.6026,13,0,,,
568,-0.15,1.0521,0.6025,1,0,,,
569,1.25,1.0294,0.6017,8,3,,,
570,18.7,1.0315,0.6012,4,20,,,
571,17.75,1.0699,0.6006,8,21,,,
572,5.2,1.039,0.5995,12,8,,,
573,-1.3,0.8351,0.599,7,0,,,
574,24.25,1.0108,0.598,14,37,,,
575,19.6,0.9052,0.5975,6,23,,,
576,57.5,0.8153,0.5964,12,66,,,
577,3.8,1.0759,0.5956,9,6,,,
578,0.75,1.073,0.5945,11,3,,,
579,10.25,1.1079,0.594,7,12,,,
580,-2.3,1.1528,0.593,13,1,,,
581,12.7,1.0473,0.5925,5,14,,,
582,17.55,1.1213,0.5919,5,19,,,
583,6.2,0.9571,0.5913,9,11,,,
584,3.1,1.1233,0.5905,9,7,,,
585,-1.35,0.955,0.5895,9,0,,,
586,2.4,1.0387,0.5888,7,4,,,
587,9.4,1.0359,0.5881,9,12,,,
588,37.05,0.9098,0.5873,7,40,,,
589,-0.3,0.9086,0.587,2,0,,,
590,27.85,0.8555,0.5862,12,34,,,
591,-0.9,0.9101,0.5856,6,0,,,
592,2.45,1.1001,0.5851,6,4,,,
593,2.4,1.1253,0.5845,8,4,,,
594,23.35,1.0658,0.5837,9,28,,,
595,6.8,0.7824,0.5832,6,8,,,
596,4.1,1.1903,0.5826,7,6,,,
597,2.25,0.8853,0.5821,7,4,,,
598,32.35,1.0831,0.5814,10,39,,,
